movieId,title,genres
14025,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
7285,Jumanji (1995),Adventure|Children|Fantasy
5746,Grumpier Old Men (1995),Comedy|Romance
14629,Waiting to Exhale (1995),Comedy|Drama|Romance
4716,Father of the Bride Part II (1995),Comedy
6018,Heat (1995),Action|Crime|Thriller
11363,Sabrina (1995),Comedy|Romance
13933,Tom and Huck (1995),Adventure|Children
12715,Sudden Death (1995),Action
5582,GoldenEye (1995),Action|Adventure|Thriller
4077,Dracula: Dead and Loving It (1995),Comedy|Horror
1241,Balto (1995),Adventure|Animation|Children
9541,Nixon (1995),Drama
3342,Cutthroat Island (1995),Action|Adventure|Romance
2514,Casino (1995),Crime|Drama
11648,Sense and Sensibility (1995),Drama|Romance
5081,Four Rooms (1995),Comedy
341,Ace Ventura: When Nature Calls (1995),Comedy
8925,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
5409,Get Shorty (1995),Comedy|Crime|Thriller
3150,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
1018,Assassins (1995),Action|Crime|Thriller
10506,Powder (1995),Drama|Sci-Fi
7794,Leaving Las Vegas (1995),Drama|Romance
9958,Othello (1995),Drama
9670,Now and Then (1995),Children|Drama
10272,Persuasion (1995),Drama|Romance
11777,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
3415,Dangerous Minds (1995),Drama
15096,Wings of Courage (1995),Adventure|Romance|IMAX
1125,Babe (1995),Children|Drama
2498,Carrington (1995),Drama|Romance
3545,Dead Man Walking (1995),Crime|Drama
352,Across the Sea of Time (1995),Documentary|IMAX
7036,It Takes Two (1995),Children|Comedy
2942,Clueless (1995),Comedy|Romance
11088,Richard III (1995),Drama|War
3552,Dead Presidents (1995),Action|Crime|Drama
11022,Restoration (1995),Drama
9002,Mortal Kombat (1995),Action|Adventure|Fantasy
13882,To Die For (1995),Comedy|Drama|Thriller
6443,How to Make an American Quilt (1995),Drama|Romance
11677,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
10422,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
14875,When Night Is Falling (1995),Drama|Romance
8771,Mighty Aphrodite (1995),Comedy|Drama|Romance
7690,Lamerica (1994),Adventure|Drama
5387,Georgia (1995),Drama
6289,Home for the Holidays (1995),Drama
4583,Eye for an Eye (1996),Drama|Thriller
9066,Mr. Holland's Opus (1995),Drama
3961,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
1667,Bio-Dome (1996),Comedy
7771,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
14237,Two Bits (1995),Drama
5163,French Twist (Gazon maudit) (1995),Comedy|Romance
5174,Friday (1995),Comedy
4622,Fair Game (1995),Action
7428,Kicking and Screaming (1995),Comedy|Drama
1402,Bed of Roses (1996),Drama|Romance
1609,Big Bully (1996),Comedy|Drama
11570,Screamers (1995),Action|Sci-Fi|Thriller
13705,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
886,Antonia's Line (Antonia) (1995),Comedy|Drama
7740,Last Summer in the Hamptons (1995),Comedy|Drama
14968,White Squall (1996),Action|Adventure|Drama
4197,Dunston Checks In (1996),Children|Comedy
1741,Black Sheep (1996),Comedy
9461,Nick of Time (1995),Action|Thriller
8560,Mary Reilly (1996),Drama|Horror|Thriller
14471,Vampire in Brooklyn (1995),Comedy|Horror|Romance
1381,Beautiful Girls (1996),Comedy|Drama|Romance
2179,Broken Arrow (1996),Action|Adventure|Thriller
6779,In the Bleak Midwinter (1995),Comedy|Drama
11868,Shopping (1994),Action|Thriller
6050,Heidi Fleiss: Hollywood Madam (1995),Documentary
2847,City Hall (1996),Drama|Thriller
2020,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
9100,Mr. Wrong (1996),Comedy
14364,Unforgettable (1996),Mystery|Sci-Fi|Thriller
5894,Happy Gilmore (1996),Comedy
9133,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
2564,Catwalk (1996),Documentary
5989,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
2073,Braveheart (1995),Action|Drama|War
13043,Taxi Driver (1976),Crime|Drama|Thriller
11309,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
1432,Before and After (1996),Drama|Mystery
8510,Margaret's Museum (1995),Drama
848,Anne Frank Remembered (1995),Documentary
6680,If Lucy Fell (1996),Comedy|Romance
10769,Race the Sun (1996),Adventure|Comedy|Drama
1984,Boomerang (1992),Comedy|Romance
2813,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
10335,Pie in the Sky (1996),Comedy|Romance
813,Angela (1995),Drama
5111,Frankie Starlight (1995),Drama|Romance
7081,Jade (1995),Thriller
9678,Nueba Yol (1995),Comedy|Drama
4036,Down Periscope (1996),Comedy
5221,From the Journals of Jean Seberg (1995),Documentary
8457,Man of the Year (1995),Documentary
13014,Target (1995),Action|Drama
14403,Up Close and Personal (1996),Drama|Romance
11744,Shadows (Cienie) (1988),Drama
5640,Gospa (1995),Drama
1190,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
656,Amateur (1994),Crime|Drama|Thriller
911,Apollo 13 (1995),Adventure|Drama|IMAX
11177,Rob Roy (1995),Action|Drama|Romance|War
1324,Batman Forever (1995),Action|Adventure|Comedy|Crime
1572,Beyond Rangoon (1995),Adventure|Drama|War
1916,Blue in the Face (1995),Comedy|Drama
2407,Canadian Bacon (1995),Comedy|War
2519,Casper (1995),Adventure|Children
2909,Clockers (1995),Crime|Drama|Mystery
3101,Congo (1995),Action|Adventure|Mystery|Sci-Fi
3264,Crimson Tide (1995),Drama|Thriller|War
3307,Crumb (1994),Documentary
3732,Desperado (1995),Action|Romance|Western
3777,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
4743,Feast of July (1995),Drama
4862,First Knight (1995),Action|Drama|Romance
5136,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
5803,Hackers (1995),Action|Adventure|Crime|Thriller
7124,Jeffrey (1995),Comedy|Drama
7211,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
7261,Judge Dredd (1995),Action|Crime|Sci-Fi
7306,Jury Duty (1995),Comedy
7434,Kids (1995),Drama
8045,Living in Oblivion (1995),Comedy
8118,Lord of Illusions (1995),Horror
8323,Mad Love (1995),Drama|Romance
8416,Mallrats (1995),Comedy|Romance
8773,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
8978,Moonlight and Valentino (1995),Drama|Romance
9175,Mute Witness (1994),Comedy|Horror|Thriller
9331,Nadja (1994),Drama
9528,Nine Months (1995),Comedy|Romance
10151,Party Girl (1995),Comedy
10892,Reckless (1995),Comedy|Fantasy
11371,Safe (1995),Thriller
11890,Showgirls (1995),Drama
12113,Smoke (1995),Comedy|Drama
12220,Something to Talk About (1995),Comedy|Drama|Romance
12339,Species (1995),Horror|Sci-Fi
12626,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
13793,Three Wishes (1995),Drama|Fantasy
14006,Total Eclipse (1995),Drama|Romance
14320,Under Siege 2: Dark Territory (1995),Action
14391,Unstrung Heroes (1995),Comedy|Drama
14400,Unzipped (1995),Documentary
14719,Waterworld (1995),Action|Adventure|Sci-Fi
14953,White Man's Burden (1995),Drama
15030,Wild Bill (1995),Western
2288,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
